,,,,,,,,,,,,,,Core Fundamentals,,,,,,,,,,Growth (3 years,,,,,,,,,,
No,Particulars,Purchase Price,Qty,Investment,Portfolio (%),NSE/BSE,CMP,Present value,Gain/Loss,"Gain/Loss
(%)",Market Cap,P/E (TTM),Latest Earnings,Revenue (TTM),"EBITDA
(TTM)",EBITDA (%),PAT,PAT (%),CFO (March 24),"CFO 
(5 years)","Free Cash Flow
(5 years)",Debt to Equity,Book Value,Revenue,EBITDA,Profit,"Market
Cap",Price to Sales,CFO to EBITDA,CFO to PAT,Price to book,Stage-2,Sale price,Abhishek
,Financial Sector,,,328450,21%,,,246268.3,-82181.7,-25.02%,,,,,,,,,,,,,,,,,,,,,,,,
1,HDFC Bank,1490,50,74500,5%,HDFCBANK,1000,50020,-24480,-32.86%,1538246,21.26,47.02,"321,990",106757,33%,"69,181",21%,-3983,85155,,7,693,30.19%,50.23%,26.25%,10%,4.78,-2680%,-1737%,1.4,Yes,,
2,Bajaj Finance,6466,15,96990,6%,BAJFINANCE,1020,15301.5,-81688.5,-84.22%,634255,34.71,29.44,"62,279",43336,70%,"15,375",25%,82415,201273,,4,"1,253",27.26%,68.23%,48.42%,13%,10.18,53%,19%,0.8,No,,Exit
3,ICICI Bank,780,84,65520,4%,532174,1377,115642.8,50122.8,76.50%,984007,18.62,73.97,"174,379",57238,33%,"47,368",27%,13765,4332,,6,366,21.40%,28.66%,34.02%,24%,5.64,416%,344%,3.8,Yes,,
4,Bajaj Housing,130,504,65520,4%,544252,95,48056.4,-17463.6,-26.65%,187894,115.18,2.57,"8,527",7783,91%,"1,861",22%,15125,46789,,6,18,34.16%,87.90%,56.32%,,22.04,51%,12%,5.2,NA,,
5,Savani Financials,24,1080,25920,2%,511577,16,17247.6,-8672.4,-33.46%,51,#N/A,-7.54,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,,
,Tech Sector,,,337820,22%,,,360853.15,23033.15,6.82%,,,,,,,,,,,,,,,,,,,,,,,,
1,Affle India,1151,50,57550,4%,AFFLE,1623,81130,23580,40.97%,22801,54.6,29.83,"2,067",412,20%,343,17%,262,902,-281,0,183,52.78%,19.75%,30.16%,2%,11.03,157%,131%,8.9,Yes,,
2,LTI Mindtree,4775,16,76400,5%,LTIM,6243,99888,23488,30.74%,186538,34.69,145.92,"36,485",6426,18%,"4,654",13%,5670,16058,11468,0,676,42.13%,18.72%,33.26%,27%,5.11,113%,82%,9.2,No,,
